county,state,county-code,multiple-cause-of-death,multiple-cause-of-death-code,deaths,population,crude-rate
Autauga County,Alabama,1001,Heroin,T40.1,Suppressed,653405,Suppressed
Autauga County,Alabama,1001,Other opioids,T40.2,Suppressed,653405,Suppressed
Autauga County,Alabama,1001,Methadone,T40.3,Suppressed,653405,Suppressed
Autauga County,Alabama,1001,Other synthetic narcotics,T40.4,Suppressed,653405,Suppressed
Baldwin County,Alabama,1003,Heroin,T40.1,Suppressed,2276081,Suppressed
Baldwin County,Alabama,1003,Other opioids,T40.2,75,2276081,3.3
Baldwin County,Alabama,1003,Methadone,T40.3,61,2276081,2.7
Baldwin County,Alabama,1003,Other synthetic narcotics,T40.4,37,2276081,1.6
Barbour County,Alabama,1005,Heroin,T40.1,Suppressed,324547,Suppressed
Barbour County,Alabama,1005,Other opioids,T40.2,Suppressed,324547,Suppressed
Barbour County,Alabama,1005,Methadone,T40.3,Suppressed,324547,Suppressed
Barbour County,Alabama,1005,Other synthetic narcotics,T40.4,Suppressed,324547,Suppressed
Bibb County,Alabama,1007,Heroin,T40.1,Suppressed,271373,Suppressed
Bibb County,Alabama,1007,Other opioids,T40.2,Suppressed,271373,Suppressed
Bibb County,Alabama,1007,Methadone,T40.3,Suppressed,271373,Suppressed
Bibb County,Alabama,1007,Other synthetic narcotics,T40.4,Suppressed,271373,Suppressed
Blount County,Alabama,1009,Heroin,T40.1,15,687927,Unreliable
Blount County,Alabama,1009,Other opioids,T40.2,10,687927,Unreliable
Blount County,Alabama,1009,Methadone,T40.3,17,687927,Unreliable
Blount County,Alabama,1009,Other synthetic narcotics,T40.4,13,687927,Unreliable
Bullock County,Alabama,1011,Heroin,T40.1,Suppressed,128427,Suppressed
Bullock County,Alabama,1011,Other opioids,T40.2,Suppressed,128427,Suppressed
Bullock County,Alabama,1011,Methadone,T40.3,Suppressed,128427,Suppressed
Bullock County,Alabama,1011,Other synthetic narcotics,T40.4,Suppressed,128427,Suppressed
Butler County,Alabama,1013,Heroin,T40.1,Suppressed,245967,Suppressed
