"Notes"	"County"	"County Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"Heroin"	"T40.1"	Suppressed	653405	Suppressed
	"Autauga County, AL"	"01001"	"Other opioids"	"T40.2"	Suppressed	653405	Suppressed
	"Autauga County, AL"	"01001"	"Methadone"	"T40.3"	Suppressed	653405	Suppressed
	"Autauga County, AL"	"01001"	"Other synthetic narcotics"	"T40.4"	Suppressed	653405	Suppressed
	"Baldwin County, AL"	"01003"	"Heroin"	"T40.1"	Suppressed	2276081	Suppressed
	"Baldwin County, AL"	"01003"	"Other opioids"	"T40.2"	75	2276081	3.3
	"Baldwin County, AL"	"01003"	"Methadone"	"T40.3"	61	2276081	2.7
	"Baldwin County, AL"	"01003"	"Other synthetic narcotics"	"T40.4"	37	2276081	1.6
	"Barbour County, AL"	"01005"	"Heroin"	"T40.1"	Suppressed	324547	Suppressed
	"Barbour County, AL"	"01005"	"Other opioids"	"T40.2"	Suppressed	324547	Suppressed
	"Barbour County, AL"	"01005"	"Methadone"	"T40.3"	Suppressed	324547	Suppressed
	"Barbour County, AL"	"01005"	"Other synthetic narcotics"	"T40.4"	Suppressed	324547	Suppressed
	"Bibb County, AL"	"01007"	"Heroin"	"T40.1"	Suppressed	271373	Suppressed
	"Bibb County, AL"	"01007"	"Other opioids"	"T40.2"	Suppressed	271373	Suppressed
	"Bibb County, AL"	"01007"	"Methadone"	"T40.3"	Suppressed	271373	Suppressed
	"Bibb County, AL"	"01007"	"Other synthetic narcotics"	"T40.4"	Suppressed	271373	Suppressed
	"Blount County, AL"	"01009"	"Heroin"	"T40.1"	15	687927	Unreliable
	"Blount County, AL"	"01009"	"Other opioids"	"T40.2"	10	687927	Unreliable
	"Blount County, AL"	"01009"	"Methadone"	"T40.3"	17	687927	Unreliable
	"Blount County, AL"	"01009"	"Other synthetic narcotics"	"T40.4"	13	687927	Unreliable
	"Bullock County, AL"	"01011"	"Heroin"	"T40.1"	Suppressed	128427	Suppressed
	"Bullock County, AL"	"01011"	"Other opioids"	"T40.2"	Suppressed	128427	Suppressed
	"Bullock County, AL"	"01011"	"Methadone"	"T40.3"	Suppressed	128427	Suppressed
	"Bullock County, AL"	"01011"	"Other synthetic narcotics"	"T40.4"	Suppressed	128427	Suppressed
	"Butler County, AL"	"01013"	"Heroin"	"T40.1"	Suppressed	245967	Suppressed
	"Butler County, AL"	"01013"	"Other opioids"	"T40.2"	Suppressed	245967	Suppressed
	"Butler County, AL"	"01013"	"Methadone"	"T40.3"	Suppressed	245967	Suppressed
	"Butler County, AL"	"01013"	"Other synthetic narcotics"	"T40.4"	Suppressed	245967	Suppressed
	"Calhoun County, AL"	"01015"	"Heroin"	"T40.1"	Suppressed	1398512	Suppressed
	"Calhoun County, AL"	"01015"	"Other opioids"	"T40.2"	Suppressed	1398512	Suppressed
	"Calhoun County, AL"	"01015"	"Methadone"	"T40.3"	Suppressed	1398512	Suppressed
	"Calhoun County, AL"	"01015"	"Other synthetic narcotics"	"T40.4"	Suppressed	1398512	Suppressed
	"Chambers County, AL"	"01017"	"Heroin"	"T40.1"	Suppressed	410874	Suppressed
	"Chambers County, AL"	"01017"	"Other opioids"	"T40.2"	Suppressed	410874	Suppressed
	"Chambers County, AL"	"01017"	"Methadone"	"T40.3"	Suppressed	410874	Suppressed
	"Chambers County, AL"	"01017"	"Other synthetic narcotics"	"T40.4"	Suppressed	410874	Suppressed
	"Cherokee County, AL"	"01019"	"Heroin"	"T40.1"	Suppressed	310257	Suppressed
	"Cherokee County, AL"	"01019"	"Other opioids"	"T40.2"	Suppressed	310257	Suppressed
	"Cherokee County, AL"	"01019"	"Methadone"	"T40.3"	Suppressed	310257	Suppressed
	"Cherokee County, AL"	"01019"	"Other synthetic narcotics"	"T40.4"	Suppressed	310257	Suppressed
	"Chilton County, AL"	"01021"	"Heroin"	"T40.1"	Suppressed	523112	Suppressed
	"Chilton County, AL"	"01021"	"Other opioids"	"T40.2"	Suppressed	523112	Suppressed
	"Chilton County, AL"	"01021"	"Methadone"	"T40.3"	Suppressed	523112	Suppressed
	"Chilton County, AL"	"01021"	"Other synthetic narcotics"	"T40.4"	Suppressed	523112	Suppressed
	"Choctaw County, AL"	"01023"	"Heroin"	"T40.1"	Suppressed	163695	Suppressed
	"Choctaw County, AL"	"01023"	"Other opioids"	"T40.2"	Suppressed	163695	Suppressed
	"Choctaw County, AL"	"01023"	"Methadone"	"T40.3"	Suppressed	163695	Suppressed
	"Choctaw County, AL"	"01023"	"Other synthetic narcotics"	"T40.4"	Suppressed	163695	Suppressed
	"Clarke County, AL"	"01025"	"Heroin"	"T40.1"	Suppressed	305503	Suppressed
	"Clarke County, AL"	"01025"	"Other opioids"	"T40.2"	Suppressed	305503	Suppressed
	"Clarke County, AL"	"01025"	"Methadone"	"T40.3"	Suppressed	305503	Suppressed
	"Clarke County, AL"	"01025"	"Other synthetic narcotics"	"T40.4"	Suppressed	305503	Suppressed
	"Clay County, AL"	"01027"	"Heroin"	"T40.1"	Suppressed	164986	Suppressed
	"Clay County, AL"	"01027"	"Other opioids"	"T40.2"	Suppressed	164986	Suppressed
	"Clay County, AL"	"01027"	"Methadone"	"T40.3"	Suppressed	164986	Suppressed
	"Clay County, AL"	"01027"	"Other synthetic narcotics"	"T40.4"	Suppressed	164986	Suppressed
	"Cleburne County, AL"	"01029"	"Heroin"	"T40.1"	Suppressed	178684	Suppressed
	"Cleburne County, AL"	"01029"	"Other opioids"	"T40.2"	Suppressed	178684	Suppressed
	"Cleburne County, AL"	"01029"	"Methadone"	"T40.3"	Suppressed	178684	Suppressed
	"Cleburne County, AL"	"01029"	"Other synthetic narcotics"	"T40.4"	Suppressed	178684	Suppressed
	"Coffee County, AL"	"01031"	"Heroin"	"T40.1"	Suppressed	599526	Suppressed
	"Coffee County, AL"	"01031"	"Other opioids"	"T40.2"	Suppressed	599526	Suppressed
	"Coffee County, AL"	"01031"	"Methadone"	"T40.3"	Suppressed	599526	Suppressed
	"Coffee County, AL"	"01031"	"Other synthetic narcotics"	"T40.4"	Suppressed	599526	Suppressed
	"Colbert County, AL"	"01033"	"Heroin"	"T40.1"	Suppressed	653317	Suppressed
	"Colbert County, AL"	"01033"	"Other opioids"	"T40.2"	Suppressed	653317	Suppressed
	"Colbert County, AL"	"01033"	"Methadone"	"T40.3"	Suppressed	653317	Suppressed
	"Colbert County, AL"	"01033"	"Other synthetic narcotics"	"T40.4"	Suppressed	653317	Suppressed
	"Conecuh County, AL"	"01035"	"Heroin"	"T40.1"	Suppressed	156113	Suppressed
	"Conecuh County, AL"	"01035"	"Other opioids"	"T40.2"	Suppressed	156113	Suppressed
	"Conecuh County, AL"	"01035"	"Methadone"	"T40.3"	Suppressed	156113	Suppressed
	"Conecuh County, AL"	"01035"	"Other synthetic narcotics"	"T40.4"	Suppressed	156113	Suppressed
	"Coosa County, AL"	"01037"	"Heroin"	"T40.1"	Suppressed	132854	Suppressed
	"Coosa County, AL"	"01037"	"Other opioids"	"T40.2"	Suppressed	132854	Suppressed
	"Coosa County, AL"	"01037"	"Methadone"	"T40.3"	Suppressed	132854	Suppressed
	"Coosa County, AL"	"01037"	"Other synthetic narcotics"	"T40.4"	Suppressed	132854	Suppressed
	"Covington County, AL"	"01039"	"Heroin"	"T40.1"	Suppressed	452228	Suppressed
	"Covington County, AL"	"01039"	"Other opioids"	"T40.2"	Suppressed	452228	Suppressed
	"Covington County, AL"	"01039"	"Methadone"	"T40.3"	Suppressed	452228	Suppressed
