"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Heroin"	"T40.1"	612	88891578	0.7
	"Alabama"	"01"	"Other opioids"	"T40.2"	1159	88891578	1.3
	"Alabama"	"01"	"Methadone"	"T40.3"	930	88891578	1.0
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	725	88891578	0.8
"Total"	"Alabama"	"01"			3426	88891578	3.9
	"Alaska"	"02"	"Heroin"	"T40.1"	234	13100743	1.8
	"Alaska"	"02"	"Other opioids"	"T40.2"	531	13100743	4.1
	"Alaska"	"02"	"Methadone"	"T40.3"	195	13100743	1.5
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	154	13100743	1.2
"Total"	"Alaska"	"02"			1114	13100743	8.5
	"Arizona"	"04"	"Heroin"	"T40.1"	2001	116207661	1.7
	"Arizona"	"04"	"Other opioids"	"T40.2"	4284	116207661	3.7
	"Arizona"	"04"	"Methadone"	"T40.3"	1275	116207661	1.1
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	1076	116207661	0.9
"Total"	"Arizona"	"04"			8636	116207661	7.4
	"Arkansas"	"05"	"Heroin"	"T40.1"	77	54119666	0.1
	"Arkansas"	"05"	"Other opioids"	"T40.2"	1585	54119666	2.9
	"Arkansas"	"05"	"Methadone"	"T40.3"	796	54119666	1.5
	"Arkansas"	"05"	"Other synthetic narcotics"	"T40.4"	600	54119666	1.1
"Total"	"Arkansas"	"05"			3058	54119666	5.7
	"California"	"06"	"Heroin"	"T40.1"	7503	697268717	1.1
	"California"	"06"	"Other opioids"	"T40.2"	17330	697268717	2.5
	"California"	"06"	"Methadone"	"T40.3"	4899	697268717	0.7
	"California"	"06"	"Other synthetic narcotics"	"T40.4"	3338	697268717	0.5
"Total"	"California"	"06"			33070	697268717	4.7
	"Colorado"	"08"	"Heroin"	"T40.1"	1521	93127301	1.6
	"Colorado"	"08"	"Other opioids"	"T40.2"	2935	93127301	3.2
	"Colorado"	"08"	"Methadone"	"T40.3"	821	93127301	0.9
	"Colorado"	"08"	"Other synthetic narcotics"	"T40.4"	935	93127301	1.0
"Total"	"Colorado"	"08"			6212	93127301	6.7
	"Connecticut"	"09"	"Heroin"	"T40.1"	3128	67016484	4.7
	"Connecticut"	"09"	"Other opioids"	"T40.2"	1283	67016484	1.9
	"Connecticut"	"09"	"Methadone"	"T40.3"	806	67016484	1.2
	"Connecticut"	"09"	"Other synthetic narcotics"	"T40.4"	1718	67016484	2.6
"Total"	"Connecticut"	"09"			6935	67016484	10.3
	"Delaware"	"10"	"Heroin"	"T40.1"	478	16604497	2.9
	"Delaware"	"10"	"Other opioids"	"T40.2"	521	16604497	3.1
	"Delaware"	"10"	"Methadone"	"T40.3"	256	16604497	1.5
	"Delaware"	"10"	"Other synthetic narcotics"	"T40.4"	465	16604497	2.8
"Total"	"Delaware"	"10"			1720	16604497	10.4
	"District of Columbia"	"11"	"Heroin"	"T40.1"	511	11515629	4.4
	"District of Columbia"	"11"	"Other opioids"	"T40.2"	246	11515629	2.1
	"District of Columbia"	"11"	"Methadone"	"T40.3"	150	11515629	1.3
	"District of Columbia"	"11"	"Other synthetic narcotics"	"T40.4"	371	11515629	3.2
"Total"	"District of Columbia"	"11"			1278	11515629	11.1
	"Florida"	"12"	"Heroin"	"T40.1"	4206	349255045	1.2
	"Florida"	"12"	"Other opioids"	"T40.2"	13413	349255045	3.8
