"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Heroin"	"T40.1"	"Female"	"F"	164	45839709	0.4
	"Alabama"	"01"	"Heroin"	"T40.1"	"Male"	"M"	448	43051869	1.0
	"Alabama"	"01"	"Other opioids"	"T40.2"	"Female"	"F"	507	45839709	1.1
	"Alabama"	"01"	"Other opioids"	"T40.2"	"Male"	"M"	652	43051869	1.5
	"Alabama"	"01"	"Methadone"	"T40.3"	"Female"	"F"	346	45839709	0.8
	"Alabama"	"01"	"Methadone"	"T40.3"	"Male"	"M"	584	43051869	1.4
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	260	45839709	0.6
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	465	43051869	1.1
	"Alaska"	"02"	"Heroin"	"T40.1"	"Female"	"F"	64	6283244	1.0
	"Alaska"	"02"	"Heroin"	"T40.1"	"Male"	"M"	170	6817499	2.5
	"Alaska"	"02"	"Other opioids"	"T40.2"	"Female"	"F"	219	6283244	3.5
	"Alaska"	"02"	"Other opioids"	"T40.2"	"Male"	"M"	312	6817499	4.6
	"Alaska"	"02"	"Methadone"	"T40.3"	"Female"	"F"	66	6283244	1.1
	"Alaska"	"02"	"Methadone"	"T40.3"	"Male"	"M"	129	6817499	1.9
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	64	6283244	1.0
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	90	6817499	1.3
	"Arizona"	"04"	"Heroin"	"T40.1"	"Female"	"F"	378	58374041	0.6
	"Arizona"	"04"	"Heroin"	"T40.1"	"Male"	"M"	1623	57833620	2.8
	"Arizona"	"04"	"Other opioids"	"T40.2"	"Female"	"F"	1926	58374041	3.3
	"Arizona"	"04"	"Other opioids"	"T40.2"	"Male"	"M"	2358	57833620	4.1
	"Arizona"	"04"	"Methadone"	"T40.3"	"Female"	"F"	468	58374041	0.8
	"Arizona"	"04"	"Methadone"	"T40.3"	"Male"	"M"	807	57833620	1.4
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	439	58374041	0.8
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	637	57833620	1.1
	"Arkansas"	"05"	"Heroin"	"T40.1"	"Female"	"F"	Suppressed	27589016	Suppressed
