"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Heroin"	"T40.1"	"1999"	"1999"	Suppressed	4430141	Suppressed
	"Alabama"	"01"	"Heroin"	"T40.1"	"2000"	"2000"	Suppressed	4447100	Suppressed
	"Alabama"	"01"	"Heroin"	"T40.1"	"2001"	"2001"	Suppressed	4467634	Suppressed
	"Alabama"	"01"	"Heroin"	"T40.1"	"2002"	"2002"	Suppressed	4480089	Suppressed
	"Alabama"	"01"	"Heroin"	"T40.1"	"2003"	"2003"	Suppressed	4503491	Suppressed
	"Alabama"	"01"	"Heroin"	"T40.1"	"2004"	"2004"	Suppressed	4530729	Suppressed
	"Alabama"	"01"	"Heroin"	"T40.1"	"2005"	"2005"	Suppressed	4569805	Suppressed
	"Alabama"	"01"	"Heroin"	"T40.1"	"2006"	"2006"	Suppressed	4628981	Suppressed
	"Alabama"	"01"	"Heroin"	"T40.1"	"2007"	"2007"	Suppressed	4672840	Suppressed
	"Alabama"	"01"	"Heroin"	"T40.1"	"2008"	"2008"	Suppressed	4718206	Suppressed
	"Alabama"	"01"	"Heroin"	"T40.1"	"2009"	"2009"	12	4757938	Unreliable
	"Alabama"	"01"	"Heroin"	"T40.1"	"2010"	"2010"	Suppressed	4779736	Suppressed
	"Alabama"	"01"	"Heroin"	"T40.1"	"2011"	"2011"	14	4802740	Unreliable
	"Alabama"	"01"	"Heroin"	"T40.1"	"2012"	"2012"	35	4822023	0.7
	"Alabama"	"01"	"Heroin"	"T40.1"	"2013"	"2013"	40	4833722	0.8
	"Alabama"	"01"	"Heroin"	"T40.1"	"2014"	"2014"	122	4849377	2.5
	"Alabama"	"01"	"Heroin"	"T40.1"	"2015"	"2015"	111	4858979	2.3
	"Alabama"	"01"	"Heroin"	"T40.1"	"2016"	"2016"	126	4863300	2.6
	"Alabama"	"01"	"Heroin"	"T40.1"	"2017"	"2017"	125	4874747	2.6
	"Alabama"	"01"	"Other opioids"	"T40.2"	"1999"	"1999"	10	4430141	Unreliable
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2000"	"2000"	26	4447100	0.6
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2001"	"2001"	22	4467634	0.5
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2002"	"2002"	30	4480089	0.7
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2003"	"2003"	22	4503491	0.5
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2004"	"2004"	32	4530729	0.7
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2005"	"2005"	24	4569805	0.5
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2006"	"2006"	49	4628981	1.1
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2007"	"2007"	66	4672840	1.4
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2008"	"2008"	73	4718206	1.5
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2009"	"2009"	92	4757938	1.9
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2010"	"2010"	82	4779736	1.7
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2011"	"2011"	92	4802740	1.9
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2012"	"2012"	62	4822023	1.3
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2013"	"2013"	65	4833722	1.3
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2014"	"2014"	90	4849377	1.9
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2015"	"2015"	87	4858979	1.8
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2016"	"2016"	94	4863300	1.9
	"Alabama"	"01"	"Other opioids"	"T40.2"	"2017"	"2017"	141	4874747	2.9
	"Alabama"	"01"	"Methadone"	"T40.3"	"1999"	"1999"	16	4430141	Unreliable
	"Alabama"	"01"	"Methadone"	"T40.3"	"2000"	"2000"	12	4447100	Unreliable
	"Alabama"	"01"	"Methadone"	"T40.3"	"2001"	"2001"	26	4467634	0.6
	"Alabama"	"01"	"Methadone"	"T40.3"	"2002"	"2002"	33	4480089	0.7
	"Alabama"	"01"	"Methadone"	"T40.3"	"2003"	"2003"	25	4503491	0.6
	"Alabama"	"01"	"Methadone"	"T40.3"	"2004"	"2004"	46	4530729	1.0
	"Alabama"	"01"	"Methadone"	"T40.3"	"2005"	"2005"	47	4569805	1.0
	"Alabama"	"01"	"Methadone"	"T40.3"	"2006"	"2006"	65	4628981	1.4
	"Alabama"	"01"	"Methadone"	"T40.3"	"2007"	"2007"	86	4672840	1.8
	"Alabama"	"01"	"Methadone"	"T40.3"	"2008"	"2008"	101	4718206	2.1
	"Alabama"	"01"	"Methadone"	"T40.3"	"2009"	"2009"	88	4757938	1.8
	"Alabama"	"01"	"Methadone"	"T40.3"	"2010"	"2010"	78	4779736	1.6
	"Alabama"	"01"	"Methadone"	"T40.3"	"2011"	"2011"	63	4802740	1.3
	"Alabama"	"01"	"Methadone"	"T40.3"	"2012"	"2012"	55	4822023	1.1
	"Alabama"	"01"	"Methadone"	"T40.3"	"2013"	"2013"	41	4833722	0.8
	"Alabama"	"01"	"Methadone"	"T40.3"	"2014"	"2014"	44	4849377	0.9
	"Alabama"	"01"	"Methadone"	"T40.3"	"2015"	"2015"	40	4858979	0.8
	"Alabama"	"01"	"Methadone"	"T40.3"	"2016"	"2016"	34	4863300	0.7
	"Alabama"	"01"	"Methadone"	"T40.3"	"2017"	"2017"	30	4874747	0.6
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"1999"	"1999"	10	4430141	Unreliable
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2000"	"2000"	11	4447100	Unreliable
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2001"	"2001"	Suppressed	4467634	Suppressed
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2002"	"2002"	Suppressed	4480089	Suppressed
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2003"	"2003"	Suppressed	4503491	Suppressed
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2004"	"2004"	12	4530729	Unreliable
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2005"	"2005"	11	4569805	Unreliable
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2006"	"2006"	22	4628981	0.5
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2007"	"2007"	21	4672840	0.4
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2008"	"2008"	19	4718206	Unreliable
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2009"	"2009"	31	4757938	0.7
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2010"	"2010"	34	4779736	0.7
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2011"	"2011"	19	4802740	Unreliable
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2012"	"2012"	16	4822023	Unreliable
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2013"	"2013"	30	4833722	0.6
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	47	4849377	1.0
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	70	4858979	1.4
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	157	4863300	3.2
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	198	4874747	4.1
	"Alaska"	"02"	"Heroin"	"T40.1"	"1999"	"1999"	Suppressed	624779	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2000"	"2000"	Suppressed	626932	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2001"	"2001"	Suppressed	633714	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2003"	"2003"	Suppressed	648414	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2005"	"2005"	Suppressed	666946	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2006"	"2006"	Suppressed	675302	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2007"	"2007"	Suppressed	680300	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2008"	"2008"	Suppressed	687455	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2009"	"2009"	Suppressed	698895	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2010"	"2010"	Suppressed	710231	Suppressed
	"Alaska"	"02"	"Heroin"	"T40.1"	"2011"	"2011"	12	722718	Unreliable
	"Alaska"	"02"	"Heroin"	"T40.1"	"2012"	"2012"	23	731449	3.1
	"Alaska"	"02"	"Heroin"	"T40.1"	"2013"	"2013"	24	735132	3.3
	"Alaska"	"02"	"Heroin"	"T40.1"	"2014"	"2014"	25	736732	3.4
	"Alaska"	"02"	"Heroin"	"T40.1"	"2015"	"2015"	37	738432	5.0
	"Alaska"	"02"	"Heroin"	"T40.1"	"2016"	"2016"	49	741894	6.6
	"Alaska"	"02"	"Heroin"	"T40.1"	"2017"	"2017"	36	739795	4.9
	"Alaska"	"02"	"Other opioids"	"T40.2"	"1999"	"1999"	10	624779	Unreliable
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2000"	"2000"	21	626932	3.3
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2001"	"2001"	Suppressed	633714	Suppressed
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2003"	"2003"	Suppressed	648414	Suppressed
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2005"	"2005"	Suppressed	666946	Suppressed
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2006"	"2006"	14	675302	Unreliable
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2007"	"2007"	Suppressed	680300	Suppressed
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2008"	"2008"	51	687455	7.4
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2009"	"2009"	60	698895	8.6
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2010"	"2010"	38	710231	5.4
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2011"	"2011"	36	722718	5.0
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2012"	"2012"	42	731449	5.7
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2013"	"2013"	38	735132	5.2
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2014"	"2014"	40	736732	5.4
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2015"	"2015"	51	738432	6.9
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2016"	"2016"	45	741894	6.1
	"Alaska"	"02"	"Other opioids"	"T40.2"	"2017"	"2017"	47	739795	6.4
	"Alaska"	"02"	"Methadone"	"T40.3"	"1999"	"1999"	Suppressed	624779	Suppressed
	"Alaska"	"02"	"Methadone"	"T40.3"	"2000"	"2000"	Suppressed	626932	Suppressed
	"Alaska"	"02"	"Methadone"	"T40.3"	"2001"	"2001"	Suppressed	633714	Suppressed
	"Alaska"	"02"	"Methadone"	"T40.3"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"Methadone"	"T40.3"	"2003"	"2003"	Suppressed	648414	Suppressed
	"Alaska"	"02"	"Methadone"	"T40.3"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"Methadone"	"T40.3"	"2005"	"2005"	Suppressed	666946	Suppressed
