county_code,county,state,heroin_deaths,other_opioids_deaths,methadone_deaths,other_synthetics_deaths,population,heroin_death_rate,other_opioids_death_rate,methadone_death_rate,other_synthetics_death_rate,prescribing_rate_2006,prescribing_rate_2007,prescribing_rate_2008,prescribing_rate_2009,prescribing_rate_2010,prescribing_rate_2011,prescribing_rate_2012,prescribing_rate_2013,prescribing_rate_2014,prescribing_rate_2015,prescribing_rate_2016,prescribing_rate_2017,mean_prescribing_rate
1001,Autauga County,Alabama,0,0,0,0,653405,0.0,0.0,0.0,0.0,134.8,135.8,144.9,147.5,151.7,144.1,157.8,166.7,145.3,129.9,129.6,106.6,141.2
1003,Baldwin County,Alabama,0,75,61,37,2276081,0.0,3.3,2.7,1.6,127.8,133.2,138.3,143.9,143.8,150.0,156.4,154.3,143.5,132.1,123.8,106.7,137.8
1005,Barbour County,Alabama,0,0,0,0,324547,0.0,0.0,0.0,0.0,78.1,72.7,79.6,88.5,97.0,99.4,118.3,107.5,102.0,93.3,92.7,90.7,93.3
1007,Bibb County,Alabama,0,0,0,0,271373,0.0,0.0,0.0,0.0,114.3,116.1,119.6,109.6,58.9,57.7,69.2,70.5,75.8,69.4,97.2,80.6,86.6
1009,Blount County,Alabama,15,10,17,13,687927,2.2,1.5,2.5,1.9,40.3,44.6,58.2,56.2,60.1,64.8,66.6,65.9,63.2,57.9,56.9,48.9,57.0
1011,Bullock County,Alabama,0,0,0,0,128427,0.0,0.0,0.0,0.0,34.6,37.7,41.1,46.3,53.8,41.0,40.8,41.2,34.3,23.4,19.8,19.9,36.2
1013,Butler County,Alabama,0,0,0,0,245967,0.0,0.0,0.0,0.0,105.4,102.0,104.5,121.2,117.5,135.8,158.6,149.7,145.0,140.5,135.4,118.6,127.8
1015,Calhoun County,Alabama,0,0,0,0,1398512,0.0,0.0,0.0,0.0,165.7,173.4,174.4,175.9,182.5,176.7,185.6,188.9,180.0,165.4,161.0,138.2,172.3
1017,Chambers County,Alabama,0,0,0,0,410874,0.0,0.0,0.0,0.0,120.4,133.8,134.9,144.9,150.3,152.5,168.4,169.7,163.1,147.3,140.6,127.0,146.1
1019,Cherokee County,Alabama,0,0,0,0,310257,0.0,0.0,0.0,0.0,123.8,137.5,146.3,162.5,165.6,159.7,165.3,163.8,175.1,169.2,157.7,128.3,154.6
1021,Chilton County,Alabama,0,0,0,0,523112,0.0,0.0,0.0,0.0,109.0,111.9,115.2,116.9,114.7,120.7,130.3,134.3,132.1,120.6,120.4,107.0,119.4
1023,Choctaw County,Alabama,0,0,0,0,163695,0.0,0.0,0.0,0.0,60.2,99.8,106.0,95.7,110.3,115.3,125.8,125.9,141.2,97.0,97.8,92.2,105.6
1025,Clarke County,Alabama,0,0,0,0,305503,0.0,0.0,0.0,0.0,120.6,126.1,132.7,155.7,166.6,171.9,181.9,189.0,184.3,165.6,164.7,154.5,159.5
1027,Clay County,Alabama,0,0,0,0,164986,0.0,0.0,0.0,0.0,114.0,118.6,128.0,137.4,127.2,130.3,144.6,163.3,150.6,139.7,133.7,112.2,133.3
1029,Cleburne County,Alabama,0,0,0,0,178684,0.0,0.0,0.0,0.0,12.6,23.9,27.6,29.4,19.8,26.1,36.9,41.8,48.2,51.1,44.2,48.1,34.1
1031,Coffee County,Alabama,0,0,0,0,599526,0.0,0.0,0.0,0.0,118.6,118.4,117.7,127.0,134.0,152.6,168.8,147.2,143.2,131.9,129.5,118.7,134.0
1033,Colbert County,Alabama,0,0,0,0,653317,0.0,0.0,0.0,0.0,196.8,215.3,211.5,213.5,209.6,208.7,221.2,229.9,234.3,222.9,208.1,186.0,213.2
1035,Conecuh County,Alabama,0,0,0,0,156113,0.0,0.0,0.0,0.0,142.1,156.9,168.9,199.5,187.8,170.7,172.7,170.8,154.4,102.8,93.9,84.9,150.5
1037,Coosa County,Alabama,0,0,0,0,132854,0.0,0.0,0.0,0.0,25.2,32.7,45.4,48.0,50.6,52.0,56.8,51.8,35.7,26.8,25.4,24.3,39.6
1039,Covington County,Alabama,0,0,0,0,452228,0.0,0.0,0.0,0.0,202.1,206.9,200.3,187.6,185.9,178.0,202.5,219.0,216.2,198.8,170.9,143.1,192.6
1041,Crenshaw County,Alabama,0,0,0,0,167392,0.0,0.0,0.0,0.0,93.7,100.6,107.9,108.7,116.9,113.7,120.5,111.8,101.5,94.0,90.9,81.1,103.4
1043,Cullman County,Alabama,14,11,0,0,969957,1.4,1.1,0.0,0.0,140.6,150.6,155.2,174.7,178.8,180.6,191.4,190.4,182.6,172.0,166.2,141.1,168.7
1045,Dale County,Alabama,0,0,0,0,596414,0.0,0.0,0.0,0.0,64.0,61.5,62.9,71.2,79.1,75.1,77.3,74.0,71.5,63.8,78.7,69.6,70.7
1047,Dallas County,Alabama,0,0,0,0,510618,0.0,0.0,0.0,0.0,77.9,84.6,92.1,112.8,126.0,122.5,118.6,125.7,123.3,115.7,117.8,102.6,110.0
1049,DeKalb County,Alabama,0,21,11,0,848326,0.0,2.5,1.3,0.0,50.6,45.2,55.5,57.8,81.2,100.6,122.3,123.6,122.7,117.6,114.4,103.2,91.2
1051,Elmore County,Alabama,0,0,0,0,955617,0.0,0.0,0.0,0.0,83.0,88.6,103.8,108.4,113.4,129.9,137.8,132.2,122.7,113.1,117.3,109.4,113.3
1053,Escambia County,Alabama,0,37,18,10,454778,0.0,8.1,4.0,2.2,116.7,105.5,115.9,139.4,145.7,149.0,152.1,164.2,166.8,174.3,173.9,154.9,146.5
1055,Etowah County,Alabama,0,20,10,21,1244829,0.0,1.6,0.8,1.7,126.2,133.2,145.6,159.6,163.1,158.2,191.1,199.1,191.4,171.9,156.8,130.5,160.6
1057,Fayette County,Alabama,0,0,0,0,205103,0.0,0.0,0.0,0.0,78.0,85.8,67.8,43.7,46.7,48.9,66.0,150.9,162.5,162.0,133.3,114.3,96.7
1059,Franklin County,Alabama,0,0,0,0,378487,0.0,0.0,0.0,0.0,160.3,144.7,170.9,174.1,197.5,223.2,246.0,237.6,225.5,222.4,223.3,181.3,200.6
1061,Geneva County,Alabama,0,0,0,0,319645,0.0,0.0,0.0,0.0,30.2,23.5,23.9,26.5,29.9,31.7,41.6,44.3,50.4,56.4,50.2,42.1,37.6
1063,Greene County,Alabama,0,0,0,0,106657,0.0,0.0,0.0,0.0,32.4,40.7,54.4,60.1,41.2,46.5,32.9,48.0,98.6,78.7,79.8,53.9,55.6
1065,Hale County,Alabama,0,0,0,0,187121,0.0,0.0,0.0,0.0,59.3,63.4,63.8,76.4,91.1,92.6,98.6,102.7,100.2,85.1,97.7,98.7,85.8
1067,Henry County,Alabama,0,0,0,0,206452,0.0,0.0,0.0,0.0,41.0,39.3,31.4,42.9,40.3,35.0,37.5,36.5,37.3,49.2,30.7,26.7,37.3
1069,Houston County,Alabama,0,12,10,0,1221010,0.0,1.0,0.8,0.0,157.6,167.1,171.7,185.5,192.6,192.8,185.2,179.8,161.1,146.6,142.8,136.2,168.2
